weeks,ccf,antimicrobial,organism
5,0.04408197525023796,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
6,0.02849452902346874,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
7,0.013074911900568408,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
8,-0.0017115108820338599,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
9,-0.015509967008835364,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
10,-0.028405472912715085,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
11,-0.040687337194662554,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
12,-0.052627047228898015,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
13,-0.0640871844080885,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
14,-0.07463880259023077,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
15,-0.084469806416248,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
16,-0.09330924235291026,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
17,-0.1005797750257134,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
18,-0.10662811789806542,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
19,NA,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
20,NA,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
1,-0.3351985907975474,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
2,-0.34596552014400017,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
3,-0.35591983086369705,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
4,-0.36540463692182845,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
5,-0.375722005379145,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
6,-0.38445638929046794,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
