weeks,ccf,antimicrobial,organism
18,0.23934287330738338,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
19,0.21971291592417067,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
20,0.20204597878728975,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
1,0.3887823076009304,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
2,0.36049326848578683,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
3,0.33270208551158376,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
4,0.30535721211878136,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
5,0.2781600200130416,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
6,0.2509257218700665,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
7,0.22388494768579167,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
8,0.19736317189221575,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
9,0.1714439057111814,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
10,0.14633555634329234,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
11,0.12217747070057472,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
12,0.09848869186508236,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
13,0.0752247021427448,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
14,0.05289379079623695,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
15,0.03150251093900348,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
16,0.011118881267369976,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
17,-0.007485652286981503,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
18,-0.024274871011338083,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
19,-0.03969897946444918,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
20,-0.053999616691032475,FUSIDIC ACID_FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
